End Effector								Cube					
Pos:x	Pos:y	Pos:z	Rot:x	Rot:y	Rot:z	Rot:w	Pos:x	Pos:y	Pos:z	Rot:x	Rot:y	Rot:z	Rot:w
0.1038179976	-0.0069972133	0.4988263521	0.5087658688	0.4910635424	-0.4909940768	-0.5088602015	0.5	1.25686592620671E-16	0.0472844892	1	4.02019796978729E-17	-6.56251330380995E-20	-8.39977297901637E-20
0.1038179606	-0.0069972052	0.4988263193	0.5087662171	0.4910634815	-0.4909941101	-0.5088598799	0.5	1.27556197988685E-16	0.0472844892	1	3.97922723177742E-17	-6.6113040968502E-20	-8.39148757546383E-20
0.1038178362	-0.00699723	0.498826461	0.5087656821	0.4910637385	-0.4909943922	-0.5088598946	0.5	1.29425781364863E-16	0.0472844892	1	3.97865490047995E-17	-6.69386891091979E-20	-8.39276856737215E-20
0.1038178721	-0.0069971948	0.4988262853	0.5087661981	0.4910635342	-0.4909941012	-0.5088598566	0.5	1.31295411551075E-16	0.0472844892	1	3.96812777661186E-17	-6.87725866341628E-20	-8.43260481026167E-20
0.1038178178	-0.0069972336	0.498826467	0.5087657558	0.4910637294	-0.4909944435	-0.5088597801	0.5	1.33165233005082E-16	0.0472844892	1	3.96707247011218E-17	-8.15524729316619E-20	-8.55010273275144E-20
0.1038178298	-0.0069971983	0.4988263094	0.5087660493	0.4910636047	-0.4909941532	-0.5088598871	0.5	1.35034994475491E-16	0.0472844892	1	3.96581368318263E-17	-8.96367789106411E-20	-8.68697571431681E-20
0.1038178337	-0.0069972247	0.4988264181	0.5087659336	0.4910636592	-0.4909943672	-0.5088597437	0.5	1.36904661027412E-16	0.0472844892	1	3.9348038282075E-17	-8.7981243842416E-20	-8.77788313443678E-20
0.1038178052	-0.0069972106	0.4988263704	0.5087658711	0.4910636822	-0.4909942654	-0.5088598823	0.5	1.38774280826446E-16	0.0472844892	1	4.02328940542315E-17	-8.75106741399705E-20	-8.74789333593373E-20
0.1038178454	-0.0069972115	0.4988263558	0.5087660805	0.4910635973	-0.490994255	-0.5088597649	0.5	1.4064398929638E-16	0.0472844892	1	3.96217324629494E-17	-8.89212306123973E-20	-8.73230431908862E-20
0.103817799	-0.0069972226	0.4988264231	0.5087657757	0.4910637243	-0.4909943652	-0.5088598408	0.5	1.42513436771398E-16	0.0472844892	1	3.97148635846473E-17	-9.02659051148173E-20	-8.64196373348745E-20
0.1038178419	-0.0069972027	0.4988263204	0.5087661139	0.491063582	-0.490994186	-0.5088598129	0.5	1.44383039384728E-16	0.0472844892	1	4.02100203892099E-17	-8.84050934878057E-20	-8.66992915230101E-20
0.1038178087	-0.006997227	0.4988264373	0.5087658027	0.4910637144	-0.4909943968	-0.5088597928	0.5	1.46252712395604E-16	0.0472844892	1	3.97030875019847E-17	-8.90797914161081E-20	-8.6696705689326E-20
0.1038178275	-0.0069972029	0.4988263274	0.5087660378	0.4910636131	-0.4909941935	-0.5088598516	0.5	1.48122273162483E-16	0.0472844892	1	3.97966328277668E-17	-8.92462179477482E-20	-8.61606535842187E-20
0.1038178246	-0.0069972228	0.4988264127	0.5087659095	0.4910636699	-0.4909943562	-0.5088597682	0.5	1.49991854243333E-16	0.0472844892	1	3.99928538377113E-17	-8.95786421991011E-20	-8.53224072236355E-20
0.1038178129	-0.0069972099	0.4988263634	0.5087659217	0.4910636621	-0.4909942568	-0.5088598595	0.5	1.5186163204834E-16	0.0472844892	1	3.98876414875336E-17	-8.985150875639E-20	-8.52062374074583E-20
0.1038178355	-0.0069972144	0.4988263725	0.5087660144	0.4910636252	-0.4909942835	-0.5088597765	0.5	1.53731239247104E-16	0.0472844892	1	3.99838131224144E-17	-8.94713324168334E-20	-8.51346525389716E-20
